 	Area	XM	YM	Slice
1	114	231	67	1
2	101	462	102	1
3	122	569	147	1
4	107	117	149	1
5	147	406	149	1
6	150	455	154	1
7	157	685	188	1
8	145	178	190	1
9	127	898	196	1
10	160	446	210	1
11	395	421	235	1
12	180	179	239	1
13	174	578	291	1
14	194	122	337	1
15	272	526	352	1
16	210	801	404	1
17	228	528	405	1
18	280	638	407	1
19	250	473	413	1
20	270	643	473	1
21	279	585	476	1
22	115	231	67	2
23	101	462	102	2
24	123	569	147	2
25	110	117	149	2
26	143	406	149	2
27	150	455	154	2
28	169	686	188	2
29	152	178	190	2
30	133	898	195	2
31	151	446	210	2
32	164	165	232	2
33	174	578	291	2
34	405	229	333	2
35	194	120	339	2
36	260	526	352	2
37	52	206	364	2
38	237	529	405	2
39	210	801	404	2
40	283	638	407	2
41	256	473	413	2
42	272	643	473	2
43	285	585	476	2
44	110	210	36	3
45	100	463	102	3
46	118	569	147	3
47	111	117	149	3
48	144	406	149	3
49	150	455	154	3
50	168	686	188	3
51	135	178	189	3
52	128	898	196	3
53	155	446	210	3
54	166	165	232	3
55	177	578	291	3
56	195	120	339	3
57	266	526	352	3
58	250	488	389	3
59	214	801	404	3
60	234	528	405	3
61	294	638	407	3
62	530	151	442	3
63	268	643	473	3
64	286	585	476	3
65	107	210	36	4
66	109	462	102	4
67	112	119	143	4
68	120	569	147	4
69	145	406	149	4
70	149	455	154	4
71	168	686	188	4
72	145	177	190	4
73	134	898	195	4
74	147	446	210	4
75	164	165	232	4
76	173	578	291	4
77	494	396	344	4
78	257	526	352	4
79	243	488	389	4
80	211	801	404	4
81	235	528	405	4
82	280	638	407	4
83	272	643	473	4
84	205	55	473	4
85	288	585	476	4
86	105	210	36	5
87	101	462	102	5
88	113	119	143	5
89	121	569	147	5
90	139	406	149	5
91	145	455	154	5
92	168	686	188	5
93	144	178	190	5
94	127	898	195	5
95	160	446	210	5
96	166	165	233	5
97	181	578	291	5
98	261	526	352	5
99	238	488	389	5
100	243	528	405	5
101	213	801	404	5
102	283	638	407	5
103	623	444	472	5
104	208	55	473	5
105	269	643	473	5
106	281	585	476	5
107	45	470	521	5
108	106	210	36	6
109	237	300	85	6
110	105	463	105	6
111	105	117	142	6
112	121	569	147	6
113	143	406	149	6
114	151	455	154	6
115	159	685	188	6
116	130	898	196	6
117	156	170	200	6
118	156	446	210	6
119	161	165	232	6
120	174	578	291	6
121	265	526	352	6
122	246	488	389	6
123	214	801	404	6
124	234	528	405	6
125	283	638	407	6
126	202	55	473	6
127	268	643	473	6
128	286	585	476	6
129	107	210	36	7
130	152	439	53	7
131	36	428	60	7
132	100	463	105	7
133	108	117	142	7
134	121	569	147	7
135	139	406	149	7
136	150	455	154	7
137	170	686	188	7
138	132	898	196	7
139	154	170	200	7
140	155	446	210	7
141	167	165	232	7
142	176	578	291	7
143	265	526	352	7
144	246	488	389	7
145	287	638	407	7
146	212	801	404	7
147	232	529	405	7
148	268	643	473	7
149	202	55	473	7
150	284	585	476	7
151	107	210	36	8
152	162	730	58	8
153	107	463	105	8
154	108	117	142	8
155	121	569	147	8
156	144	406	149	8
157	148	455	154	8
158	158	711	173	8
159	130	898	195	8
160	153	170	200	8
161	157	446	210	8
162	164	165	232	8
163	185	578	291	8
164	266	526	352	8
165	251	488	389	8
166	186	813	387	8
167	235	528	405	8
168	275	630	450	8
169	200	55	473	8
170	281	643	474	8
171	283	585	476	8
172	107	210	36	9
173	111	463	105	9
174	112	116	142	9
175	123	569	147	9
176	144	406	149	9
177	149	455	154	9
178	155	711	173	9
179	149	170	200	9
180	156	446	210	9
181	165	165	232	9
182	139	947	289	9
183	179	578	291	9
184	268	526	352	9
185	463	713	369	9
186	244	488	389	9
187	185	813	387	9
188	235	529	404	9
189	281	630	450	9
190	202	55	473	9
191	277	643	474	9
192	285	585	476	9
193	110	211	36	10
194	115	463	105	10
195	107	117	142	10
196	126	580	143	10
197	222	536	146	10
198	56	521	150	10
199	145	406	149	10
200	151	455	154	10
201	153	711	173	10
202	145	170	200	10
203	150	439	207	10
204	166	165	232	10
205	132	947	288	10
206	181	578	291	10
207	262	526	352	10
208	194	803	368	10
209	248	488	389	10
210	232	528	405	10
211	277	630	450	10
212	207	55	473	10
213	279	643	474	10
214	288	585	476	10
215	101	210	36	11
216	111	463	105	11
217	89	952	135	11
218	111	117	142	11
219	137	406	149	11
220	150	455	154	11
221	151	711	173	11
222	149	170	200	11
223	162	438	207	11
224	169	165	232	11
225	132	947	288	11
226	180	578	291	11
227	264	526	352	11
228	165	790	383	11
229	245	488	389	11
230	234	528	405	11
231	275	630	450	11
232	569	773	472	11
233	204	55	473	11
234	279	643	474	11
235	289	585	476	11
236	90	791	517	11
237	106	210	36	12
238	109	463	105	12
239	89	952	135	12
240	113	117	142	12
241	138	406	149	12
242	151	455	154	12
243	159	711	173	12
244	156	170	200	12
245	150	439	207	12
246	163	165	232	12
247	136	947	288	12
248	176	578	291	12
249	259	526	352	12
250	371	915	371	12
251	205	785	365	12
252	239	488	389	12
253	240	529	404	12
254	278	630	450	12
255	206	55	473	12
256	275	643	474	12
257	286	585	476	12
258	105	210	36	13
259	108	463	105	13
260	92	953	135	13
261	103	117	142	13
262	143	406	149	13
263	150	455	154	13
264	154	711	173	13
265	149	170	200	13
266	154	439	207	13
267	170	165	233	13
268	137	947	288	13
269	180	578	291	13
270	221	772	351	13
271	265	526	352	13
272	246	488	389	13
273	234	529	404	13
274	487	815	437	13
275	63	780	446	13
276	274	630	449	13
277	203	55	473	13
278	274	643	474	13
279	283	585	476	13
280	40	804	481	13
281	105	211	36	14
282	115	463	105	14
283	94	953	135	14
284	109	117	142	14
285	138	406	149	14
286	152	455	154	14
287	158	711	173	14
288	145	170	200	14
289	156	433	209	14
290	159	418	227	14
291	168	165	232	14
292	139	947	288	14
293	219	773	342	14
294	262	527	357	14
295	348	70	375	14
296	240	488	389	14
297	236	528	405	14
298	271	630	449	14
299	202	56	473	14
300	282	643	474	14
301	281	585	476	14
302	107	210	36	15
303	116	463	105	15
304	91	952	135	15
305	110	117	142	15
306	145	406	149	15
307	148	455	154	15
308	156	711	173	15
309	147	170	200	15
310	155	433	209	15
311	163	158	226	15
