 	Area	XM	YM	Slice
1	307	399.549	61.546	1
2	355	235.086	76.354	1
3	368	315.995	79.380	1
4	418	215.780	120.328	1
5	391	395.477	122.185	1
6	394	571.591	150.736	1
7	538	682.550	205.110	1
8	605	119.640	231.037	1
9	588	694.531	236.027	1
10	524	791.628	238.088	1
11	302	399.235	61.825	2
12	363	234.880	76.302	2
13	356	315.750	78.803	2
14	405	216.110	120.599	2
15	372	395.083	122.481	2
16	415	570.835	130.652	2
17	521	682.404	204.817	2
18	510	142.880	224.188	2
19	556	694.540	235.347	2
20	560	792.055	238.948	2
21	297	399.274	61.584	3
22	376	234.838	76.660	3
23	365	316.029	79.010	3
24	422	215.912	120.654	3
25	406	570.833	130.485	3
26	527	319.329	196.494	3
27	534	682.345	204.712	3
28	502	142.779	224.373	3
29	585	694.748	235.844	3
30	544	791.741	238.436	3
31	286	399.213	61.531	4
32	360	234.842	76.714	4
33	360	315.786	79.281	4
34	395	215.941	120.341	4
35	307	567.151	123.406	4
36	513	319.200	196.295	4
37	526	682.369	204.804	4
38	451	143.108	223.702	4
39	578	694.540	235.600	4
40	556	792.011	238.469	4
41	288	399.260	61.028	5
42	393	234.821	76.772	5
43	360	315.744	79.253	5
44	417	215.294	120.438	5
45	375	584.249	140.775	5
46	518	319.417	196.475	5
47	531	682.255	204.702	5
48	524	142.853	224.225	5
49	574	694.843	235.791	5
50	547	791.767	238.504	5
51	347	417.272	63.042	6
52	371	234.718	76.584	6
53	350	306.703	76.283	6
54	405	216.095	120.367	6
55	390	563.726	143.672	6
56	516	319.486	196.663	6
57	518	682.378	204.876	6
58	510	142.904	223.853	6
59	594	694.783	235.961	6
60	556	791.888	238.644	6
61	347	417.065	62.765	7
62	363	234.464	76.927	7
63	342	306.658	76.257	7
64	414	215.744	120.551	7
65	381	564.075	143.600	7
66	523	319.429	196.599	7
67	529	682.483	204.785	7
68	504	143.063	224.147	7
69	575	694.644	236.201	7
70	529	792.058	238.721	7
71	331	571.814	56.153	8
72	350	417.489	63.371	8
73	376	234.668	76.684	8
74	337	306.957	76.565	8
75	406	215.911	120.490	8
76	522	319.425	196.594	8
77	522	682.557	204.684	8
78	461	143.094	223.752	8
79	569	694.799	236.047	8
80	537	823.736	246.224	8
81	249	596.078	33.307	9
82	341	417.541	63.265	9
83	376	234.585	76.545	9
84	349	306.732	76.443	9
85	410	215.241	120.629	9
86	519	319.423	196.633	9
87	523	682.498	204.791	9
88	523	142.749	224.135	9
89	579	694.479	236.084	9
90	527	823.955	246.293	9
91	236	596.085	33.466	10
92	349	417.199	63.277	10
93	346	306.919	76.139	10
94	354	234.630	76.949	10
95	358	222.006	111.430	10
96	512	682.373	204.457	10
97	523	319.817	206.219	10
98	577	160.954	230.604	10
99	568	695.032	235.940	10
100	486	823.597	246.379	10
101	257	596.064	33.519	11
102	314	408.452	47.822	11
103	384	239.393	74.763	11
104	362	306.727	76.486	11
105	456	208.303	123.053	11
106	527	682.527	204.929	11
107	574	694.653	235.810	11
108	622	162.236	239.915	11
109	523	823.741	246.204	11
110	586	515.311	258.713	11
111	228	596.241	33.605	12
112	329	408.597	47.847	12
113	367	239.451	74.792	12
114	351	306.771	76.625	12
115	445	207.828	122.626	12
116	535	682.487	204.924	12
117	580	694.429	236.371	12
118	615	162.237	239.946	12
119	533	823.705	246.787	12
